target_IL,target_OL,target_RPS,experiment_IL,experiment_OL,config_matches,max_sustainable_rps,instances_needed,capacity_per_instance,total_capacity,utilization,test_name,scenario,valid,warning
10000.0,20.0,5.0,5000.0,20.0,False,5.0,1,5.0,5.0,100.0,5-8K_20,vary_IL,False,Different IL - estimate assumes same performance characteristics
5000.0,10.0,2.5,5000.0,10.0,True,5.0,1,5.0,5.0,50.0,5-8K_10,vary_RPS,True,
5000.0,10.0,5.0,5000.0,10.0,True,5.0,1,5.0,5.0,100.0,5-8K_10,vary_RPS,True,
5000.0,10.0,7.5,5000.0,10.0,True,5.0,2,5.0,10.0,75.0,5-8K_10,vary_RPS,True,
5000.0,10.0,10.0,5000.0,10.0,True,5.0,2,5.0,10.0,100.0,5-8K_10,vary_RPS,True,
5000.0,10.0,15.0,5000.0,10.0,True,5.0,3,5.0,15.0,100.0,5-8K_10,vary_RPS,True,
5000.0,10.0,25.0,5000.0,10.0,True,5.0,5,5.0,25.0,100.0,5-8K_10,vary_RPS,True,
5000.0,5.0,5.0,5000.0,10.0,False,5.0,1,5.0,5.0,100.0,5-8K_10,vary_OL,False,Different OL - estimate assumes same performance characteristics
5000.0,10.0,5.0,5000.0,10.0,True,5.0,1,5.0,5.0,100.0,5-8K_10,vary_OL,False,Different OL - estimate assumes same performance characteristics
5000.0,15.0,5.0,5000.0,10.0,False,5.0,1,5.0,5.0,100.0,5-8K_10,vary_OL,False,Different OL - estimate assumes same performance characteristics
5000.0,20.0,5.0,5000.0,10.0,False,5.0,1,5.0,5.0,100.0,5-8K_10,vary_OL,False,Different OL - estimate assumes same performance characteristics
2500.0,10.0,5.0,5000.0,10.0,False,5.0,1,5.0,5.0,100.0,5-8K_10,vary_IL,False,Different IL - estimate assumes same performance characteristics
5000.0,10.0,5.0,5000.0,10.0,True,5.0,1,5.0,5.0,100.0,5-8K_10,vary_IL,False,Different IL - estimate assumes same performance characteristics
7500.0,10.0,5.0,5000.0,10.0,False,5.0,1,5.0,5.0,100.0,5-8K_10,vary_IL,False,Different IL - estimate assumes same performance characteristics
10000.0,10.0,5.0,5000.0,10.0,False,5.0,1,5.0,5.0,100.0,5-8K_10,vary_IL,False,Different IL - estimate assumes same performance characteristics
1000.0,10.0,19.0,1000.0,10.0,True,38.0,1,38.0,38.0,50.0,1K_10,vary_RPS,True,
1000.0,10.0,38.0,1000.0,10.0,True,38.0,1,38.0,38.0,100.0,1K_10,vary_RPS,True,
1000.0,10.0,57.0,1000.0,10.0,True,38.0,2,38.0,76.0,75.0,1K_10,vary_RPS,True,
1000.0,10.0,76.0,1000.0,10.0,True,38.0,2,38.0,76.0,100.0,1K_10,vary_RPS,True,
1000.0,10.0,114.0,1000.0,10.0,True,38.0,3,38.0,114.0,100.0,1K_10,vary_RPS,True,
1000.0,10.0,190.0,1000.0,10.0,True,38.0,5,38.0,190.0,100.0,1K_10,vary_RPS,True,
1000.0,5.0,38.0,1000.0,10.0,False,38.0,1,38.0,38.0,100.0,1K_10,vary_OL,False,Different OL - estimate assumes same performance characteristics
1000.0,10.0,38.0,1000.0,10.0,True,38.0,1,38.0,38.0,100.0,1K_10,vary_OL,False,Different OL - estimate assumes same performance characteristics
1000.0,15.0,38.0,1000.0,10.0,False,38.0,1,38.0,38.0,100.0,1K_10,vary_OL,False,Different OL - estimate assumes same performance characteristics
1000.0,20.0,38.0,1000.0,10.0,False,38.0,1,38.0,38.0,100.0,1K_10,vary_OL,False,Different OL - estimate assumes same performance characteristics
500.0,10.0,38.0,1000.0,10.0,False,38.0,1,38.0,38.0,100.0,1K_10,vary_IL,False,Different IL - estimate assumes same performance characteristics
1000.0,10.0,38.0,1000.0,10.0,True,38.0,1,38.0,38.0,100.0,1K_10,vary_IL,False,Different IL - estimate assumes same performance characteristics
1500.0,10.0,38.0,1000.0,10.0,False,38.0,1,38.0,38.0,100.0,1K_10,vary_IL,False,Different IL - estimate assumes same performance characteristics
2000.0,10.0,38.0,1000.0,10.0,False,38.0,1,38.0,38.0,100.0,1K_10,vary_IL,False,Different IL - estimate assumes same performance characteristics
4000.0,20.0,4.0,4000.0,20.0,True,8.0,1,8.0,8.0,50.0,4K_20,vary_RPS,True,
4000.0,20.0,8.0,4000.0,20.0,True,8.0,1,8.0,8.0,100.0,4K_20,vary_RPS,True,
4000.0,20.0,12.0,4000.0,20.0,True,8.0,2,8.0,16.0,75.0,4K_20,vary_RPS,True,
4000.0,20.0,16.0,4000.0,20.0,True,8.0,2,8.0,16.0,100.0,4K_20,vary_RPS,True,
4000.0,20.0,24.0,4000.0,20.0,True,8.0,3,8.0,24.0,100.0,4K_20,vary_RPS,True,
4000.0,20.0,40.0,4000.0,20.0,True,8.0,5,8.0,40.0,100.0,4K_20,vary_RPS,True,
4000.0,10.0,8.0,4000.0,20.0,False,8.0,1,8.0,8.0,100.0,4K_20,vary_OL,False,Different OL - estimate assumes same performance characteristics
4000.0,20.0,8.0,4000.0,20.0,True,8.0,1,8.0,8.0,100.0,4K_20,vary_OL,False,Different OL - estimate assumes same performance characteristics
4000.0,30.0,8.0,4000.0,20.0,False,8.0,1,8.0,8.0,100.0,4K_20,vary_OL,False,Different OL - estimate assumes same performance characteristics
4000.0,40.0,8.0,4000.0,20.0,False,8.0,1,8.0,8.0,100.0,4K_20,vary_OL,False,Different OL - estimate assumes same performance characteristics
2000.0,20.0,8.0,4000.0,20.0,False,8.0,1,8.0,8.0,100.0,4K_20,vary_IL,False,Different IL - estimate assumes same performance characteristics
4000.0,20.0,8.0,4000.0,20.0,True,8.0,1,8.0,8.0,100.0,4K_20,vary_IL,False,Different IL - estimate assumes same performance characteristics
6000.0,20.0,8.0,4000.0,20.0,False,8.0,1,8.0,8.0,100.0,4K_20,vary_IL,False,Different IL - estimate assumes same performance characteristics
8000.0,20.0,8.0,4000.0,20.0,False,8.0,1,8.0,8.0,100.0,4K_20,vary_IL,False,Different IL - estimate assumes same performance characteristics
